time,x,y,v_raw,v,v_d,a,v_des,v_d_des,a_des,throttle,throttle_des,brake,brake_des,steer
1546200926.171443,1131.23,1183.27,2.58283573856e-07,2.79596629115368e-07,-2.464519621329341e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.184178,1131.23,1183.27,2.58283573856e-07,2.760444532388067e-07,-2.408434640189974e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.196113,1131.23,1183.27,2.58283573856e-07,2.7308430667500554e-07,-2.408434640189974e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.220911,1131.23,1183.27,2.58283573856e-07,2.7061751787183795e-07,-2.1162709362610607e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.238498,1131.23,1183.27,2.58283573856e-07,2.68561860535865e-07,-2.1162709362610607e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.25983,1131.23,1183.27,2.58283573856e-07,2.668488127558875e-07,-1.934513529686185e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.272765,1131.23,1183.27,2.77586448128e-07,2.6863841865123957e-07,-1.7592862686081145e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.292031,1131.23,1183.27,2.77586448128e-07,2.701297568973663e-07,-1.3154240099850499e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.305614,1131.23,1183.27,2.77586448128e-07,2.713725387691386e-07,-9.721685698769812e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.317691,1131.23,1183.27,2.77586448128e-07,2.7240819032894883e-07,-9.721685698769812e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.342859,1131.23,1183.27,2.77586448128e-07,2.7327123329545736e-07,-5.178840968169482e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.354844,1131.23,1183.27,2.77586448128e-07,2.739904357675478e-07,-5.178840968169482e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.374955,1131.23,1183.27,2.77586448128e-07,2.745897711609565e-07,-3.709236430953675e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.390783,1131.23,1183.27,2.77586448128e-07,2.750892173221304e-07,-2.590987623683857e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.417909,1131.23,1183.27,2.7682147328e-07,2.75377926648442e-07,-1.7442762856545272e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.435241,1131.23,1183.27,2.7682147328e-07,2.7561851775370167e-07,-1.2127195810317425e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.454113,1131.23,1183.27,2.7682147328e-07,2.7581901034141807e-07,-8.09372835203132e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.466144,1131.23,1183.27,2.7682147328e-07,2.759860874978484e-07,-5.071666903383697e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200926.485897,1131.23,1183.27,2.7682147328e-07,2.7612531846154035e-07,-2.8351229890299255e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
