time,x,y,v_raw,v,v_d,a,v_des,a_des,throttle,brake,steer
1546086902.588268,1217.126,1190.712,13.5058294272,13.635608483994712,-1.417039897117864,0.0,13.5880400832,-0.16885063414209636,0.0,0.0,0.0
1546086902.596575,1217.395,1190.735,13.478542105599999,13.609430754262261,-1.417039897117864,1.635898536175971e-05,13.5880400832,-0.16885063414209636,0.0,0.0,0.0
1546086902.643525,1217.663,1190.759,13.4513039584,13.583076288285218,-1.3980438174235956,0.0,13.5058294272,-0.17200745109060966,0.0,0.0,0.0
1546086902.649657,1218.197,1190.805,13.39689472,13.552046026904348,-1.3909108132469479,6.425282752339027e-05,13.5058294272,-0.17200745109060966,0.0,0.0,0.0
1546086902.692279,1218.197,1190.805,13.39689472,13.526187475753623,-1.4183527849237418,0.0,13.4513039584,-0.17564170710901794,0.0,0.0,0.0
1546086902.697339,1218.464,1190.828,13.3697236288,13.50011016792802,-1.4183527849237418,7.315670373424072e-05,13.4513039584,-0.17564170710901794,0.0,0.0,0.0
1546086902.703245,1218.73,1190.851,13.3426151232,13.473860993806683,-1.4183527849237418,6.72297371227343e-05,13.39689472,-0.17684774904742984,0.0,0.0,0.0
1546086902.751217,1219.26,1190.896,13.288572457599999,13.44297957110557,-1.3922570188940828,8.481055466574778e-06,13.39689472,-0.17801510047094718,0.0,0.0,0.0
1546086902.756018,1219.26,1190.896,13.288572457599999,13.417245052187974,-1.3922570188940828,0.0,13.39689472,-0.17801510047094718,0.0,0.0,0.0
1546086902.760061,1219.524,1190.919,13.2616338272,13.391309848023312,-1.3922570188940828,9.985775081214342e-05,13.39689472,-0.17801510047094718,0.0,0.0,0.0
1546086902.800301,1219.788,1190.942,13.2347577824,13.365217837086092,-1.3756922476718874,1.2983803380290335e-05,13.2616338272,-0.1815027580731274,0.0,0.0,0.0
1546086902.811229,1220.314,1190.988,13.1811710976,13.334543380505076,-1.3694674782092844,7.371723014201182e-05,13.2616338272,-0.1815027580731274,0.0,0.0,0.0
1546086902.856609,1220.314,1190.988,13.1811710976,13.30898133335423,-1.3974649633587906,0.0,13.2347577824,-0.18506410175198312,0.0,0.0,0.0
1546086902.864754,1220.576,1191.01,13.154464928,13.283228599128526,-1.3974649633587906,6.879279900520823e-05,13.2347577824,-0.18506410175198312,0.0,0.0,0.0
1546086902.869769,1221.098,1191.055,13.1011062336,13.252874871540438,-1.3878502480140056,0.00017088768390332855,13.1811710976,-0.18622164382185866,0.0,0.0,0.0
1546086902.874943,1221.098,1191.055,13.1011062336,13.227580098550366,-1.3878502480140056,0.0,13.1811710976,-0.18622164382185866,0.0,0.0,0.0
1546086902.917557,1221.359,1191.078,13.07446712,13.202061268791972,-1.3664518118481896,1.2682323127510765e-05,13.1811710976,-0.18865155864122982,0.0,0.0,0.0
1546086902.927106,1221.619,1191.1,13.0478816512,13.176364665859978,-1.3581490898220796,4.223826041242199e-05,13.1811710976,-0.18865155864122982,0.0,0.0,0.0
1546086902.971928,1222.137,1191.145,12.994871648,13.146115829549982,-1.3454290853856006,1.7742701415545888e-05,13.07446712,-0.19112008551480478,0.0,0.0,0.0
1546086902.975306,1222.137,1191.145,12.994871648,13.120908465958319,-1.3454290853856006,0.0,13.07446712,-0.19112008551480478,0.0,0.0,0.0
1546086902.980812,1222.396,1191.167,12.9684471136,13.095498240565266,-1.3454290853856006,2.5866141820839885e-05,13.07446712,-0.19112008551480478,0.0,0.0,0.0
1546086903.029097,1222.654,1191.19,12.9420806944,13.069928649537722,-1.3267402153499432,2.9189235976058455e-06,12.9684471136,-0.1948335671598852,0.0,0.0,0.0
1546086903.036469,1223.168,1191.234,12.8894998496,13.039857182881434,-1.3267402153499432,5.146344736606945e-05,12.9684471136,-0.1961060313109841,0.0,0.0,0.0
1546086903.079495,1223.168,1191.234,12.8894998496,13.014797627334527,-1.3575018749848038,0.0,12.9420806944,-0.19858704628128876,0.0,0.0,0.0
1546086903.08475,1223.424,1191.256,12.863289894400001,12.989546338512106,-1.3575018749848038,2.6768229135379994e-05,12.9420806944,-0.19858704628128876,0.0,0.0,0.0
1546086903.091248,1223.935,1191.3,12.811026448,12.959793023426755,-1.3490275036845742,4.080968593376098e-05,12.9420806944,-0.19858704628128876,0.0,0.0,0.0
1546086903.095938,1223.935,1191.3,12.811026448,12.934998594188961,-1.3490275036845742,0.0,12.9420806944,-0.19858704628128876,0.0,0.0,0.0
1546086903.136869,1224.19,1191.322,12.7849729568,12.909994321290801,-1.3295288205234388,0.0,12.811026448,-0.20233886181213956,0.0,0.0,0.0
1546086903.147332,1224.444,1191.344,12.7589731104,12.884824119475667,-1.322682731403127,2.498923927601064e-05,12.811026448,-0.20233886181213956,0.0,0.0,0.0
1546086903.191594,1224.951,1191.388,12.707134351999999,12.855209158229723,-1.3113038658391345,0.0,12.811026448,-0.20486080748980146,0.0,0.0,0.0
1546086903.195466,1224.951,1191.388,12.707134351999999,12.830530023858103,-1.3113038658391345,0.0,12.811026448,-0.20486080748980146,0.0,0.0,0.0
1546086903.202544,1225.204,1191.41,12.6812909696,12.80565684814842,-1.3113038658391345,1.7770526506368964e-05,12.7849729568,-0.20739898947962793,0.0,0.0,0.0
1546086903.248668,1225.708,1191.453,12.6297696096,12.77634230839035,-1.2947099200413603,0.0,12.6812909696,-0.20867466737606605,0.0,0.0,0.0
1546086903.251873,1225.708,1191.453,12.6297696096,12.751913525258624,-1.2947099200413603,0.0,12.6812909696,-0.20867466737606605,0.0,0.0,0.0
1546086903.257485,1225.959,1191.475,12.604087161599999,12.727275797982188,-1.2947099200413603,0.0,12.6812909696,-0.20867466737606605,0.0,0.0,0.0
1546086903.30049,1226.209,1191.497,12.578458358399999,12.702472891385156,-1.2836760250702484,3.305704576578391e-06,12.6297696096,-0.21248062954617503,0.0,0.0,0.0
1546086903.317422,1226.709,1191.54,12.5273482752,12.673285455354298,-1.2797416488460054,0.0,12.6297696096,-0.21248062954617503,0.0,0.0,0.0
1546086903.322787,1226.709,1191.54,12.5273482752,12.648962591995248,-1.2797416488460054,0.0,12.6297696096,-0.21248062954617503,0.0,0.0,0.0
1546086903.365574,1226.709,1191.54,12.501875936000001,12.624448149329375,-1.2688252748885058,3.255917211966838e-06,12.578458358399999,-0.21632624734852887,0.0,0.0,0.0
1546086903.372194,1227.455,1191.604,12.4510787808,12.59555325457448,-1.265006628624416,1.8819306709606047e-05,12.5273482752,-0.21632624734852887,0.0,0.0,0.0
1546086903.415902,1227.455,1191.604,12.4510787808,12.571474175612067,-1.296033813407128,0.0,12.5273482752,-0.22017359435329997,0.0,0.0,0.0
1546086903.41947,1227.703,1191.626,12.425758435199999,12.547188218876723,-1.296033813407128,0.0,12.5273482752,-0.22017359435329997,0.0,0.0,0.0
1546086903.424595,1227.703,1191.626,12.4004917344,12.522738804797271,-1.296033813407128,2.7714510296817527e-05,12.5273482752,-0.22017359435329997,0.0,0.0,0.0
1546086903.468334,1227.95,1191.647,12.3500700928,12.49396068613106,-1.277580419984897,0.0,12.425758435199999,-0.2227700535145918,0.0,0.0,0.0
1546086903.472205,1228.442,1191.69,12.3500700928,12.469978920575883,-1.277580419984897,0.0,12.425758435199999,-0.2227700535145918,0.0,0.0,0.0
1546086903.48,1228.688,1191.711,12.324937504,12.44580535114657,-1.277580419984897,0.0,12.425758435199999,-0.2227700535145918,0.0,0.0,0.0
1546086903.52498,1229.178,1191.753,12.2748287904,12.417309257688807,-1.2656780398949532,5.846717779028156e-06,12.324937504,-0.22667575335851697,0.0,0.0,0.0
1546086903.530593,1229.178,1191.753,12.2748287904,12.393562513140672,-1.2804755020851704,0.0,12.324937504,-0.22667575335851697,0.0,0.0,0.0
1546086903.541745,1229.422,1191.774,12.2498481952,12.369610126817228,-1.2804755020851704,2.465182451738577e-05,12.324937504,-0.22927455321467363,0.0,0.0,0.0
1546086903.568772,1229.908,1191.816,12.2000479392,12.341349762214358,-1.2659800390058178,1.0419166784216403e-05,12.2748287904,-0.23058134931871263,0.0,0.0,0.0
1546086903.615571,1229.908,1191.816,12.2000479392,12.317799458378632,-1.2913269896863662,0.0,12.2498481952,-0.23320684728336194,0.0,0.0,0.0
1546086903.621575,1230.151,1191.837,12.175223808,12.294036849982195,-1.2913269896863662,1.9027548267641867e-05,12.2498481952,-0.23320684728336194,0.0,0.0,0.0
1546086903.630263,1230.635,1191.879,12.1257275392,12.265985298185164,-1.2821468268264908,3.0756434358801024e-05,12.2498481952,-0.23320684728336194,0.0,0.0,0.0
1546086903.676166,1230.635,1191.879,12.1257275392,12.24260900502097,-1.3030483609023635,0.0,12.175223808,-0.23717813617890088,0.0,0.0,0.0
1546086903.680627,1230.876,1191.9,12.1010464608,12.219015247650809,-1.3030483609023635,0.0,12.175223808,-0.23717813617890088,0.0,0.0,0.0
