time,x,y,v,v_d,a,v_des,a_des,throttle,brake,steer
1545754613.346579,1131.23,1183.27,4.3396730392109123e-07,-9.555590818962654e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.366697,1131.23,1183.27,4.3396730392109123e-07,-1.0092673003015047e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.386631,1131.23,1183.27,3.950576212163134e-07,-9.889296793727931e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.406731,1131.23,1183.27,3.6803700822688434e-07,-9.259502814984293e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.426675,1131.23,1183.27,3.6803700822688434e-07,-8.742624454730449e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.446604,1131.23,1183.27,3.6020551506689194e-07,-7.583225710421122e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.466635,1131.23,1183.27,3.6020551506689194e-07,-6.615543499491656e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.486642,1131.23,1183.27,3.6020551506689194e-07,-5.809498149487084e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.507784,1131.23,1183.27,3.437062697662305e-07,-5.908063867143065e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.526626,1131.23,1183.27,3.437062697662305e-07,-6.120412030196697e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.546646,1131.23,1183.27,3.437062697662305e-07,-6.226947184024394e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.56662,1131.23,1183.27,3.324289609171921e-07,-6.130122005100108e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.586618,1131.23,1183.27,3.151997390644945e-07,-5.761127692909792e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.606587,1131.23,1183.27,2.9693528294234337e-07,-5.493849680991204e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754613.626641,1131.23,1183.27,2.9001692835061947e-07,-5.153182255737173e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
